dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
xes3g5m,learner_based,simplekt,strict,0.6666666666666666,0.5773502691896258,0.38095238095238093,0.48795003647426655,0.5963232957181477,0.1475316036065679,0.37552564810052164,0.17583337973159682,0.3755253712681609,0.17583360396912465,0.10317460317460317,0.1290140333889592
xes3g5m,learner_based,simplekt,warm,0.7561306666710367,0.0010654038647465035,0.8072005376404509,0.003136138540231452,0.11443854428271712,0.0010686948172218694,0.1540467215086398,0.002464798346596074,0.017720538639266988,0.0006749643667386374,0.02413344896926936,0.0004335359653313751
xes3g5m,temporal,bkt,k10,0.49720625974542054,0.0,0.33777338755128383,0.0,0.6790434693024185,0.0,0.6706350408755674,0.0,0.5056058466150388,0.0,4.878023737462076e-06,0.0
xes3g5m,temporal,bkt,k5,0.497244334993826,0.0,0.33768630665088184,0.0,0.6792429347661113,0.0,0.6707783140576147,0.0,0.5058617947770834,0.0,4.7396606683702895e-06,0.0
xes3g5m,temporal,bkt,strict,0.4957020332605907,0.0,0.33722364103151553,0.0,0.6763508823945608,0.0,0.6695636206815226,0.0,0.5020214001802482,0.0,1.2027424019486198e-05,0.0
xes3g5m,temporal,bkt,warm,0.5004891145977722,0.0,0.3371539069430647,0.0,0.688169845621736,0.0,0.6755079693393357,0.0,0.5179206354029106,0.0,1.3351640492393237e-07,0.0
xes3g5m,temporal,dkt,k10,0.5093005568882827,0.02755074803153715,0.5326594070219396,0.02631455327820575,0.2689340292796807,0.006067115636581623,0.24514676988581055,0.0031701465161249154,0.08150044345718803,0.003327860278264224,0.0014507898250219274,0.0007457508456705914
xes3g5m,temporal,dkt,k5,0.5094515326515706,0.02769046852671552,0.5323745637714349,0.02633265208236012,0.26913423759897936,0.00589802300913315,0.2451203303487102,0.003172294008206265,0.08158453978334085,0.00330843125531869,0.0014865047257624343,0.0007443549008720394
xes3g5m,temporal,dkt,strict,0.48903472568298434,0.030813831729375803,0.502074632454884,0.028405671689964763,0.2882535406100057,0.007045934735139896,0.2561454471884255,0.003800630023287965,0.08898548053071303,0.0036785876323406565,0.0005412946665133164,0.0002046778662177743
xes3g5m,temporal,dkt,warm,0.6565142501817642,0.008495922924967654,0.7512381214205271,0.013462323196174027,0.13635957507180765,0.03142430027649482,0.1861643701053448,0.013948729665473466,0.03724399276799834,0.013748122832388543,0.008400565447274947,0.0012352702871794847
xes3g5m,temporal,simplekt,k10,0.5373730383856201,0.03298545562922538,0.564025569368154,0.039511454008204515,0.2664030099570058,0.01617618880658774,0.24843218927193145,0.017915871880915247,0.0853614262302818,0.01716802365618898,0.0019190539197714617,0.0009430729163309343
xes3g5m,temporal,simplekt,k5,0.5371699749868918,0.033022130956579895,0.56378816959717,0.039577409264370284,0.26656340137021334,0.01624248110042365,0.24844031396350721,0.01793986765070411,0.08543749077523778,0.017208594939723692,0.0019131859843790932,0.0009339034505601196
xes3g5m,temporal,simplekt,strict,0.5198699444512586,0.03862765752000267,0.5341281684061278,0.04371227298188499,0.2853073721449623,0.01730716283161042,0.26049189766973246,0.01962072334962109,0.0939930489473328,0.018970168169126226,0.0011351826046791548,0.0009089764553618145
xes3g5m,temporal,simplekt,warm,0.6637939098182094,0.007504473892631741,0.7452037504688337,0.011222212546337108,0.1676905892973348,0.04529884999949194,0.20237424876874988,0.020658616860123137,0.05378252008915673,0.019551485270845437,0.008477721416063651,0.0012484430766626156
