dataset,split_mode,model,bucket,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,reliability_mean,resolution_mean
junyi,temporal,bkt,medium,0.5445684117642661,0.0,0.5446001929303731,0.0,0.2479912642188895,0.29661900054895374,1.0071837470171384e-05
junyi,temporal,bkt,sparse,0.6397576782192167,0.0,0.6399337841645534,0.0,0.23032972014944186,0.40960873972654893,4.675711437319612e-06
junyi,temporal,bkt,strict_cold_start,0.5203252032520326,0.0,0.5203252032520326,0.0,0.24958688611276356,0.270738317139269,0.0
junyi,temporal,dkt,dense,0.08526427071537568,0.053088045188374566,0.20296606915308948,0.029660302322698538,0.2070404848467112,0.015064090187872936,0.019134102115275168
junyi,temporal,dkt,medium,0.2882312571746024,0.017695403424168064,0.343483934114904,0.006970225520661332,0.2479340478422992,0.098317475541518,0.0027847010805619986
junyi,temporal,dkt,sparse,0.2902321056239094,0.03827812280834796,0.32835554970153896,0.018269433483658497,0.23055243601033337,0.10024359674464843,0.002627947692940487
junyi,temporal,dkt,strict_cold_start,0.08674995871634329,0.10260591642367624,0.26842283192659866,0.044825825946503604,0.24978288643320043,0.022326361030607037,0.004454046457858643
junyi,temporal,simplekt,dense,0.12040864041852235,0.05235349336354534,0.20930536707360134,0.03458189822012379,0.2070404848467112,0.0233625725511938,0.021066203194681315
junyi,temporal,simplekt,medium,0.1733760049407758,0.04442390137872592,0.2752357038439589,0.03146418805573158,0.2479340478422992,0.040453825118994625,0.013154742567159977
junyi,temporal,simplekt,sparse,0.20498802241813616,0.03069055513737194,0.2777434512875966,0.02315693981065008,0.23055243601033337,0.05486851380737346,0.007895160063996848
junyi,temporal,simplekt,strict_cold_start,0.08722370555462743,0.11145263933926218,0.2703186078587994,0.04640402194766969,0.24978288643320043,0.026549451215717144,0.005966320399868784
xes3g5m,learner_based,bkt,dense,0.8102549513661055,0.002794368388974384,0.8102549513661055,0.002794368388974384,0.15373665948968662,0.656518291876419,0.0
