kc_id,test_events,ECE,dataset,split,fold,train_freq,log_train_freq,n_train_learners,n_train_items,train_correct_rate,difficulty_proxy,median_sequence_position_train
734,60,0.00026738694181450853,xes3g5m,learner_based,0,142,4.962844630259907,106,2,0.9084507042253521,0.09154929577464788,0.1585939347632302
735,26,0.00065669501535081,xes3g5m,learner_based,0,45,3.828641396489095,45,1,0.9111111111111111,0.0888888888888889,0.20085470085470086
736,26,0.30278402686907124,xes3g5m,learner_based,0,46,3.8501476017100584,46,1,0.8478260869565217,0.15217391304347827,0.20505156373329192
737,15,0.06846683820088707,xes3g5m,learner_based,0,30,3.4339872044851463,29,1,0.8666666666666667,0.1333333333333333,0.25078616352201255
738,15,0.13051580509631466,xes3g5m,learner_based,0,29,3.4011973816621555,29,1,0.9310344827586207,0.06896551724137934,0.24382716049382716
739,2,0.00019234418869018555,xes3g5m,learner_based,0,9,2.302585092994046,9,1,1.0,0.0,0.7723577235772358
74,1528,0.2935270085506435,xes3g5m,learner_based,0,5299,8.575462099540212,4877,8,0.5631251179467824,0.43687488205321756,0.421455938697318
740,14,0.3181368937158758,xes3g5m,learner_based,0,50,3.9318256327243257,50,1,0.24,0.76,0.9591247294372294
741,53,0.3713278495047664,xes3g5m,learner_based,0,184,5.220355825078324,184,2,0.46195652173913043,0.5380434782608696,0.9598850574712643
742,53,2.741381686832188e-07,xes3g5m,learner_based,0,184,5.220355825078324,184,2,0.46195652173913043,0.5380434782608696,0.9626551724137931
743,4,6.767105717307458e-07,xes3g5m,learner_based,0,31,3.4657359027997265,31,1,0.22580645161290322,0.7741935483870968,0.9678111587982833
744,19,0.26474199334820453,xes3g5m,learner_based,0,61,4.127134385045092,61,2,0.32786885245901637,0.6721311475409837,0.95822454308094
745,11,0.45644784430888563,xes3g5m,learner_based,0,29,3.4011973816621555,29,1,0.6206896551724138,0.3793103448275862,0.7412060301507538
746,15,0.1743669072786967,xes3g5m,learner_based,0,37,3.6375861597263857,37,1,0.918918918918919,0.08108108108108103,0.8969072164948454
747,15,0.4452592756288747,xes3g5m,learner_based,0,37,3.6375861597263857,37,1,0.7837837837837838,0.21621621621621623,0.8984238178633975
748,13,8.72069859969221e-05,xes3g5m,learner_based,0,46,3.8501476017100584,45,1,0.8260869565217391,0.17391304347826086,0.9446524291670212
749,12,0.3069831943139434,xes3g5m,learner_based,0,46,3.8501476017100584,46,1,0.8913043478260869,0.10869565217391308,0.9489923351909958
75,102,0.15524813247954147,xes3g5m,learner_based,0,307,5.730099782973574,305,3,0.9446254071661238,0.055374592833876246,0.6549019607843137
750,13,0.362108169338451,xes3g5m,learner_based,0,61,4.127134385045092,60,1,0.29508196721311475,0.7049180327868853,0.6396648044692738
751,20,0.1988750636577607,xes3g5m,learner_based,0,72,4.290459441148391,72,3,0.7777777777777778,0.2222222222222222,0.5578978575381452
752,2,8.171796798706055e-05,xes3g5m,learner_based,0,16,2.833213344056216,16,1,0.875,0.125,0.34802677238717283
753,2,6.556510925292969e-07,xes3g5m,learner_based,0,16,2.833213344056216,16,1,1.0,0.0,0.31784725887849086
754,10,0.003093786106834571,xes3g5m,learner_based,0,29,3.4011973816621555,29,1,0.896551724137931,0.10344827586206895,0.9933628318584071
755,15,0.42526894489613676,xes3g5m,learner_based,0,44,3.8066624897703196,39,2,0.5681818181818182,0.43181818181818177,0.9139426637046439
756,16,0.32539742439985275,xes3g5m,learner_based,0,55,4.02535169073515,43,2,0.6727272727272727,0.32727272727272727,0.9223057644110275
757,4,0.45519110560417175,xes3g5m,learner_based,0,21,3.091042453358316,21,1,0.7619047619047619,0.23809523809523814,0.9151138716356108
758,11,0.040367398585658514,xes3g5m,learner_based,0,41,3.7376696182833684,39,3,0.7560975609756098,0.24390243902439024,0.18339100346020762
759,11,0.01419741457158868,xes3g5m,learner_based,0,33,3.5263605246161616,33,1,0.9090909090909091,0.09090909090909094,0.7058823529411765
76,5503,0.10899315072084899,xes3g5m,learner_based,0,19408,9.873492155000728,7233,19,0.8658285243198681,0.13417147568013188,0.43191075420150676
760,13,0.35893193001930535,xes3g5m,learner_based,0,32,3.4965075614664802,28,2,0.78125,0.21875,0.8678365875162213
761,10,0.03832453805953264,xes3g5m,learner_based,0,54,4.007333185232471,54,2,0.8148148148148148,0.18518518518518523,0.3868272615462912
762,9,0.06937800962210755,xes3g5m,learner_based,0,43,3.784189633918261,43,1,0.9534883720930233,0.046511627906976716,0.3931888544891641
763,12,0.1615292743954977,xes3g5m,learner_based,0,62,4.143134726391533,54,2,0.9516129032258065,0.048387096774193505,0.3833458040750547
764,11,4.383755490671765e-06,xes3g5m,learner_based,0,52,3.970291913552122,52,1,0.8846153846153846,0.11538461538461542,0.3881004834465455
765,41,0.207217182538214,xes3g5m,learner_based,0,143,4.969813299576001,143,2,0.993006993006993,0.006993006993006978,0.0038314176245210726
766,10,0.15687526315450667,xes3g5m,learner_based,0,39,3.6888794541139363,39,1,0.8974358974358975,0.10256410256410253,0.5384615384615384
