dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
xes3g5m,irt_1pl,2026,3,strict_cold_start,3,3,0.5,0.3333333333333333,1.137417318527859,0.6609118672056117,0.46323026022809205,0.4368044962132081,0.22222222222222224,0.21458227399098587,0.0
xes3g5m,dkt,2026,3,dense,497,1270099,0.8173523710416173,0.8300274230591473,0.3926779552936273,0.3512443361337665,0.03909718597446495,0.12337258366605033,0.16323573363912558,0.0029778033551219603,0.04233159114911741
xes3g5m,dkt,2026,3,medium,174,12780,0.8581063063359778,0.8400625978090767,0.4321940023563362,0.3477612208536431,0.08044970090699212,0.12093786672961633,0.17139830549983961,0.010433094382577923,0.059893819047120225
xes3g5m,dkt,2026,3,sparse,121,1907,0.8470646056811647,0.8127949659150498,0.6695415274310235,0.38551342627334906,0.11960195707026493,0.14862060183701695,0.18938643789928583,0.01798057452512159,0.057513614944476855
xes3g5m,dkt,2026,3,very_sparse,35,88,0.7441269841269841,0.7272727272727273,1.356262362878859,0.4843125022281558,0.24033845810454713,0.23455859981449745,0.2033832644628099,0.08459673394988104,0.05305121015348288
xes3g5m,dkt,2026,3,strict_cold_start,3,3,0.5,0.6666666666666666,0.6965463698043273,0.5016862945503687,0.17281385262807208,0.25168913813967936,0.22222222222222224,0.029864627660157017,0.0
xes3g5m,simplekt,2026,3,dense,497,1270099,0.7526288447884517,0.8034137496368393,0.6340843394100469,0.396541860778533,0.11853995463992022,0.15724544734970144,0.16323573363912558,0.018798281427517795,0.023876327138515726
xes3g5m,simplekt,2026,3,medium,174,12780,0.8298012221169583,0.8238654147104851,0.611183404541341,0.37814995587177536,0.11794786119836864,0.14299738912582563,0.17139830549983961,0.02000113771734684,0.047267784200263854
xes3g5m,simplekt,2026,3,sparse,121,1907,0.8510828595157478,0.8185631882538018,0.6570214779873456,0.3825840732450889,0.12013326722862919,0.14637057310080356,0.18938643789928583,0.017830550436311876,0.058886943232398875
xes3g5m,simplekt,2026,3,very_sparse,35,88,0.7726984126984128,0.7272727272727273,1.4118068175960086,0.49110822145165983,0.2674386794667085,0.24118728517741256,0.2033832644628099,0.0994955507290589,0.0612341792712719
xes3g5m,simplekt,2026,3,strict_cold_start,3,3,1.0,1.0,0.33468634669258884,0.2988678312379635,0.27560634414354956,0.08932198054888385,0.22222222222222224,0.08932198054888385,0.22222222222222224
xes3g5m,irt_1pl,2027,4,dense,498,1271061,0.5,0.7940783329832322,0.5085190874269032,0.40438005226086454,0.00230056442993809,0.16352322666649952,0.16351793406980322,5.292596696296369e-06,0.0
xes3g5m,irt_1pl,2027,4,medium,175,12866,0.5,0.7782527592103218,0.530102228835109,0.41581721811150557,0.018126138202848363,0.1729039588779914,0.17257540199184268,0.0003285568861487589,0.0
xes3g5m,irt_1pl,2027,4,sparse,118,1792,0.5,0.7477678571428571,0.5716779695683564,0.437005860604865,0.048611040270313044,0.19097412220299873,0.18861108896683676,0.0023630332361619963,0.0
xes3g5m,irt_1pl,2027,4,very_sparse,42,134,0.5,0.6940298507462687,0.6449666229654302,0.4720463371036834,0.10234904666690148,0.2228277443730043,0.2123524170193807,0.010475327353623576,0.0
xes3g5m,irt_1pl,2027,4,strict_cold_start,7,9,0.5,0.7777777777777778,0.5307500152327447,0.4161556293317798,0.01860111963539235,0.17318550782452968,0.1728395061728395,0.0003460016516901788,0.0
xes3g5m,dkt,2027,4,dense,498,1271061,0.8185461400757162,0.8316249180802495,0.39089771562468206,0.35013994391907965,0.037126510399544156,0.12259798032765626,0.16351793406980322,0.0024667928188871783,0.04283479586578429
xes3g5m,dkt,2027,4,medium,175,12866,0.8622944395909572,0.8435411161200063,0.4390321906045185,0.34517642296376944,0.07990504159482537,0.11914676297006307,0.17257540199184268,0.009824291574018795,0.062247224736287826
xes3g5m,dkt,2027,4,sparse,118,1792,0.862511557257958,0.8297991071428571,0.6164165944743426,0.3683360079542405,0.11057080115284242,0.13567141475566633,0.18861108896683676,0.016710109935207378,0.0684888931298591
xes3g5m,dkt,2027,4,very_sparse,42,134,0.8422501966955154,0.7910447761194029,0.8892681674983519,0.4088330229568269,0.18512181217666604,0.16714444066001732,0.2123524170193807,0.04651556379597754,0.09103769433649883
xes3g5m,dkt,2027,4,strict_cold_start,7,9,0.7857142857142857,0.5555555555555556,0.6495711438712946,0.4778441483317669,0.36395295129881966,0.22833503009491166,0.1728395061728395,0.1349819270984009,0.08024691358024691
xes3g5m,simplekt,2027,4,dense,498,1271061,0.7534794048494584,0.8037175241786193,0.632468604778244,0.3966346695393026,0.1186851492471533,0.1573190610805518,0.16351793406980322,0.01875194828741637,0.0240228120305522
xes3g5m,simplekt,2027,4,medium,175,12866,0.8347113526337948,0.8290066842841598,0.6255490330552357,0.375073186425215,0.11955344429092998,0.14067989517516405,0.17257540199184268,0.01934763666739954,0.04994138240321507
xes3g5m,simplekt,2027,4,sparse,118,1792,0.8456965724474972,0.8080357142857143,0.7044182943806752,0.3906363703287906,0.12839731384293757,0.15259677382365203,0.18861108896683676,0.02287742916630166,0.05770532580531017
xes3g5m,simplekt,2027,4,very_sparse,42,134,0.8240230789404669,0.7985074626865671,1.0146455077734409,0.4125670574804568,0.16691602724188304,0.17021157691808253,0.2123524170193807,0.04284424335204736,0.08471894974039101
xes3g5m,simplekt,2027,4,strict_cold_start,7,9,0.21428571428571427,0.4444444444444444,1.016438377673476,0.6127395426671675,0.49032682759894264,0.37544974714796947,0.1728395061728395,0.3183985432077174,0.11728395061728396
