dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std,dataset_sort,model_sort,bucket_sort
xes3g5m,temporal,irt_1pl,very_sparse,0.6773957228129425,0.0,0.6037311155196093,0.0,0.6713240070588979,0.0,0.4879022611258581,0.0,0.3189231492916226,0.0,0.23804861641172503,0.0,0.1404433439215381,0.0,0.10607146233881756,0.0,0.00848023123299822,0.0,2,0,3.0
xes3g5m,temporal,irt_1pl,strict_cold_start,0.5,0.0,0.7874998928023189,0.0,0.6236104470512345,0.0,0.46414848518741864,0.0,0.2192943334040357,0.0,0.21543381630177535,0.0,0.16734381163865514,0.0,0.04809000466312037,0.0,0.0,0.0,2,0,
xes3g5m,temporal,dkt,dense,0.6679262388789932,0.0,0.7579631195961549,0.0,0.6028821500430738,0.0,0.4227013939310928,0.0,0.13154366492310615,0.0,0.17867646843128887,0.0,0.15633763540880563,0.0,0.03239007840364177,0.0,0.009925081857713776,0.0,2,1,0.0
xes3g5m,temporal,dkt,medium,0.6214158599999314,0.0,0.6258745578945742,0.0,0.9268721385670293,0.0,0.5215210999268721,0.0,0.2572905738728991,0.0,0.2719842576689345,0.0,0.1691434038109366,0.0,0.10966443034307237,0.0,0.006457638178005014,0.0,2,1,1.0
xes3g5m,temporal,dkt,sparse,0.6490477171816189,0.0,0.8227998809405696,0.0,0.5642897882223381,0.0,0.3785384173512585,0.0,0.12341860292325876,0.0,0.14329133341079553,0.0,0.12018131471170389,0.0,0.030678465012574655,0.0,0.007582848937830126,0.0,2,1,2.0
xes3g5m,temporal,dkt,very_sparse,0.5529297442148372,0.0,0.7460323515946895,0.0,0.5517857520278475,0.0,0.4217475404689699,0.0,0.1548661482297981,0.0,0.17787098789162542,0.0,0.1404433439215381,0.0,0.04203955881425221,0.0,0.0047286638264810235,0.0,2,1,3.0
xes3g5m,temporal,dkt,strict_cold_start,0.46416009722224466,0.0,0.5009604912226538,0.0,0.7031706905032239,0.0,0.5048818175259446,0.0,0.28116626682915447,0.0,0.2549056496683012,0.0,0.16734381163865514,0.0,0.08784341603282492,0.0,0.000698814949231191,0.0,2,1,
xes3g5m,temporal,simplekt,dense,0.6666082899432049,0.0,0.7516631088555932,0.0,0.8802521006363094,0.0,0.44782945293158366,0.0,0.17556624301226306,0.0,0.2005512189130015,0.0,0.15633763540880563,0.0,0.053222277391311565,0.0,0.008549530977272795,0.0,2,2,0.0
xes3g5m,temporal,simplekt,medium,0.6135727823466814,0.0,0.6410953403246482,0.0,1.3648353698014828,0.0,0.5471822587244523,0.0,0.28545549682185006,0.0,0.29940842426279335,0.0,0.1691434038109366,0.0,0.13486571481808998,0.0,0.004373553134199591,0.0,2,2,1.0
xes3g5m,temporal,simplekt,sparse,0.6910607196401799,0.0,0.8285544200813573,0.0,0.9727175604818443,0.0,0.38617165434012724,0.0,0.14047908840378337,0.0,0.1491285466157907,0.0,0.12018131471170389,0.0,0.039142449614908335,0.0,0.009862987377827155,0.0,2,2,2.0
