dataset,split_mode,model,seed,group,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,reliability,resolution
assist2012,learner_based,dkt,2026,strict,1,4,,0.0,0.7982651641206713,0.5497929278239453,0.5493345111608505,0.30227226348522596,0.302063280094574,0.0
assist2012,learner_based,dkt,2026,k5,4,9,,0.4444444444444444,0.4549144476514301,0.4165249423837603,0.3101895611584445,0.17349302762779484,0.17330184508414767,0.0
assist2012,learner_based,dkt,2026,k10,5,11,0.5,0.45454545454545453,0.6757811335317028,0.47589786513650706,0.3405441015572499,0.22647877804148508,0.15561264937167738,0.0068870523415977955
assist2012,learner_based,dkt,2026,warm,255,528670,0.6982728344594259,0.7188624283579549,0.5867532863514251,0.44011027762042937,0.06286916139484552,0.1936970564671314,0.0057943681004243046,0.022879380267289914
assist2012,learner_based,dkt,2027,k5,3,6,0.625,0.5,1.0644640406241348,0.5996085737928738,0.3615761036985532,0.3595304417659242,0.2765386252197817,0.13888888888888892
assist2012,learner_based,dkt,2027,k10,4,7,0.7,0.5714285714285714,0.9125679676872769,0.5551298520743916,0.31009249180962273,0.3081691526641359,0.23703320974167802,0.13265306122448978
assist2012,learner_based,dkt,2027,warm,256,515882,0.6958070200729739,0.7160862367750764,0.5906554889241812,0.4417118723948215,0.06489991540773299,0.1951093782145391,0.0063065600824284895,0.022178065513641407
assist2012,learner_based,dkt,42,k5,4,5,1.0,1.0,0.08100384157569265,0.14308461708888642,0.06788230862002817,0.020473207647473245,0.02046843590429646,0.16000000000000003
assist2012,learner_based,dkt,42,k10,5,6,1.0,1.0,0.06891030782918237,0.1306628725445255,0.05796977386732272,0.01707278626158691,0.017066506298150447,0.13888888888888892
assist2012,learner_based,dkt,42,warm,255,534144,0.6989300717217294,0.7186283099688473,0.5803411443862481,0.43923503386371227,0.059965807455859256,0.19292741497325644,0.005229249252899313,0.022962998344614374
assist2012,learner_based,dkt,42,k5,4,5,1.0,1.0,0.08100384157569265,0.14308461708888642,0.06788230862002817,0.020473207647473245,0.02046843590429646,0.16000000000000003
assist2012,learner_based,dkt,42,k10,5,6,1.0,1.0,0.06891030782918237,0.1306628725445255,0.05796977386732272,0.01707278626158691,0.017066506298150447,0.13888888888888892
