dataset,split,model,seed,bucket,rel_flag,n_events,ece,brier,unc,rel,res
xes3g5m,learner_based,simplekt,2025,sparse,R,2061,0.1180996012245352,0.141098494300316,0.1760402813649955,0.0200183582667773,0.0540393221596129
xes3g5m,learner_based,simplekt,2025,very_sparse,L,123,0.1555122674872404,0.1526250428490568,0.1801837530570427,0.0468143958303322,0.0739119760535584
xes3g5m,temporal,irt_1pl,42,dense,R,1191744,0.0546842852755631,0.1515896868144256,0.1563376354088056,0.0045752103932939,0.0092171414090228
xes3g5m,temporal,irt_1pl,42,medium,R,129494,0.1758914276342346,0.2283267041544304,0.1691434038109366,0.0616480799002766,0.0026421070000327
xes3g5m,temporal,irt_1pl,42,sparse,R,10079,0.1822866794913515,0.1489771138922972,0.1201813147117038,0.0368402427676221,0.0079528984158977
xes3g5m,temporal,irt_1pl,42,very_sparse,R,259426,0.2293606741796147,0.2177187805709002,0.1647976516299919,0.0538294404042227,0.0009139870424904
xes3g5m,temporal,irt_1pl,2024,dense,R,1191744,0.0526677104245946,0.1516808351742959,0.1563376354088056,0.0044304616918653,0.0089385997278069
xes3g5m,temporal,irt_1pl,2024,medium,R,129494,0.17540268658511,0.2275909955962562,0.1691434038109366,0.0609305189693696,0.0026389482781681
xes3g5m,temporal,irt_1pl,2024,sparse,R,10079,0.1827010667966365,0.1490775893923558,0.1201813147117038,0.0370046253710214,0.0078979544401395
xes3g5m,temporal,irt_1pl,2024,very_sparse,R,259426,0.2294126346576395,0.2177495777104146,0.1647976516299919,0.0538544949765856,0.0009202270561586
junyi,temporal,irt_1pl,42,dense,R,3072767,0.0233151242900317,0.19261716571143,0.2070404848467111,0.0007573020535533,0.0150430899533548
junyi,temporal,irt_1pl,42,medium,R,151597,0.0624738117803936,0.232788002553864,0.2479340478422991,0.0050823853419834,0.0201312201311974
junyi,temporal,irt_1pl,42,sparse,R,16206,0.0398139509209809,0.2189099408143167,0.2305524360103333,0.0020125467322606,0.0136043124171781
junyi,temporal,irt_1pl,42,very_sparse,R,2545,0.1933922318714307,0.2871834417814136,0.2497828864332004,0.0374005553482132,0.0
xes3g5m,temporal,irt_1pl,2025,dense,R,1191744,0.0494349201635685,0.1509069143084081,0.1563376354088056,0.0039213534823108,0.0092083692683444
xes3g5m,temporal,irt_1pl,2025,medium,R,129494,0.1726993628272965,0.2260169523212517,0.1691434038109366,0.0593559506728485,0.0026643282923647
xes3g5m,temporal,irt_1pl,2025,sparse,R,10079,0.1820235698858083,0.1488169362494016,0.1201813147117038,0.0366925329318698,0.0079791912759566
xes3g5m,temporal,irt_1pl,2025,very_sparse,R,259426,0.2293421314555498,0.2177057648678288,0.1647976516299919,0.0538194887616013,0.0009188694269634
xes3g5m,temporal,irt_1pl,2026,dense,R,1191744,0.0539140566801354,0.1515541595842107,0.1563376354088056,0.004524368207151,0.0091705154932277
xes3g5m,temporal,irt_1pl,2026,medium,R,129494,0.1734577111914384,0.2260327053200304,0.1691434038109366,0.0593344512278981,0.0026415277786817
xes3g5m,temporal,irt_1pl,2026,sparse,R,10079,0.1822105482823016,0.1489505984126416,0.1201813147117038,0.0368075518306088,0.0079774470597313
xes3g5m,temporal,irt_1pl,2026,very_sparse,R,259426,0.2293745045970145,0.2177227977166381,0.1647976516299919,0.0538323418857545,0.0009123180842343
xes3g5m,temporal,irt_1pl,2027,dense,R,1191744,0.0528515906506995,0.1512359678431938,0.1563376354088056,0.0043569945721472,0.0093137473060706
xes3g5m,temporal,irt_1pl,2027,medium,R,129494,0.1746105974383137,0.2269822713440204,0.1691434038109366,0.0603188146961402,0.0026432179673684
xes3g5m,temporal,irt_1pl,2027,sparse,R,10079,0.1815322846590631,0.1487005042428617,0.1201813147117038,0.0365283045656076,0.0079494987909981
xes3g5m,temporal,irt_1pl,2027,very_sparse,R,259426,0.2293832470573053,0.2177297522462009,0.1647976516299919,0.0538390513391198,0.0009133344869205
junyi,temporal,irt_1pl,2024,dense,R,3072767,0.0235816403967655,0.1926130271090113,0.2070404848467111,0.0007777798988273,0.0150598653090029
junyi,temporal,irt_1pl,2024,medium,R,151597,0.0641097867457126,0.2329602689437045,0.2479340478422991,0.0052213412347398,0.0202751455263478
junyi,temporal,irt_1pl,2024,sparse,R,16206,0.0389548190699711,0.2189601736899384,0.2305524360103333,0.0020614886659777,0.0136930282558404
junyi,temporal,irt_1pl,2024,very_sparse,R,2545,0.1933922318714307,0.2871834417814136,0.2497828864332004,0.0374005553482132,0.0
junyi,temporal,irt_1pl,2025,dense,R,3072767,0.0234669674671946,0.1926176074221291,0.2070404848467111,0.0007782323449542,0.0150456228600548
junyi,temporal,irt_1pl,2025,medium,R,151597,0.0633425898508793,0.2328443465314064,0.2479340478422991,0.0051683548586874,0.0201681273043944
junyi,temporal,irt_1pl,2025,sparse,R,16206,0.038471148433822,0.2189674885201963,0.2305524360103333,0.0018880126158556,0.0134327817285964
junyi,temporal,irt_1pl,2025,very_sparse,R,2545,0.1933922318714307,0.2871834417814136,0.2497828864332004,0.0374005553482132,0.0
junyi,temporal,irt_1pl,2026,dense,R,3072767,0.0234676668434893,0.1926198451158133,0.2070404848467111,0.0007718540559745,0.0150487054331729
junyi,temporal,irt_1pl,2026,medium,R,151597,0.0625867208411512,0.2328139591697784,0.2479340478422991,0.0050671963266419,0.0201743788764761
junyi,temporal,irt_1pl,2026,sparse,R,16206,0.0401295712696917,0.2188909861041275,0.2305524360103333,0.0021307890015904,0.0135502284244291
junyi,temporal,irt_1pl,2026,very_sparse,R,2545,0.1933922318714307,0.2871834417814136,0.2497828864332004,0.0374005553482132,0.0
junyi,temporal,irt_1pl,2027,dense,R,3072767,0.0237073037563217,0.1926225081714007,0.2070404848467111,0.0007922349963634,0.0150666050582761
junyi,temporal,irt_1pl,2027,medium,R,151597,0.0628677388179938,0.2328342227048006,0.2479340478422991,0.0050602505143687,0.0202386458540332
junyi,temporal,irt_1pl,2027,sparse,R,16206,0.0391584147963473,0.2188872337782426,0.2305524360103333,0.0020860024207495,0.0137439038373965
junyi,temporal,irt_1pl,2027,very_sparse,R,2545,0.1933922318714307,0.2871834417814136,0.2497828864332004,0.0374005553482132,0.0
xes3g5m,temporal,dkt,42,dense,R,1191744,0.1315436649231061,0.1786764684312888,0.1563376354088056,0.0323900784036417,0.0099250818577137
xes3g5m,temporal,dkt,42,medium,R,129494,0.2572905738728991,0.2719842576689345,0.1691434038109366,0.1096644303430723,0.006457638178005
xes3g5m,temporal,dkt,42,sparse,R,10079,0.1234186029232587,0.1432913334107955,0.1201813147117038,0.0306784650125746,0.0075828489378301
xes3g5m,temporal,dkt,42,very_sparse,R,259426,0.2684005450466208,0.2471221871221793,0.1647976516299919,0.0830524511272127,0.0011032069112043
junyi,temporal,dkt,42,dense,R,3072767,0.0628874888579975,0.1901208363547783,0.2070404848467111,0.0062104444339416,0.0230122095527662
