dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,temporal,dkt,warm,0.49893225544694814,0.0,0.6130871710464225,0.0,0.18676963126971874,0.0,0.2678649147268012,0.0,0.05326408848928509,0.0,5.175770248185403e-06,0.0
assist2012,temporal,simplekt,k10,0.5445479037999628,0.0,0.5557501459427904,0.0,0.23075521438823215,0.0,0.319824857924109,0.0,0.07762315410805136,0.0,0.0028705838430521003,0.0
assist2012,temporal,simplekt,k5,0.5371587301587302,0.0,0.5330985915492957,0.0,0.2480313125418165,0.0,0.3335898313333796,0.0,0.08669206655031629,0.0,0.003098030467715979,0.0
assist2012,temporal,simplekt,strict,0.5357458949810258,0.0,0.5309168443496801,0.0,0.24974630874713694,0.0,0.33474542205616253,0.0,0.08770590976887752,0.0,0.002992481280976295,0.0
assist2012,temporal,simplekt,warm,0.5012764600483924,0.0,0.5771877701562518,0.0,0.2506156739483635,0.0,0.3067012847776655,0.0,0.09207289878592276,0.0,9.026536355806246e-06,0.0
junyi,learner_based,bkt,warm,0.5,0.0,0.2960517785180596,0.0,0.7039482214819405,0.0,0.7039482214819405,0.0,0.4955430985275871,0.0,0.0,0.0
junyi,learner_based,dkt,warm,0.7326851543549266,0.00016804925439956367,0.7332674726569597,8.435906661508183e-06,0.04122554383192685,0.000646603442910373,0.1808738246375982,4.7581732560990415e-05,0.002487035475698039,6.745975962424012e-05,0.029600854367596456,1.0269861921958142e-05
junyi,learner_based,simplekt,warm,0.726001479150318,0.0010481397100112375,0.7285071804350047,6.186331551738648e-05,0.07515779684986118,0.0007267595059640707,0.18660410621877538,1.9008732275020272e-05,0.007204237790781193,0.00022746700883660486,0.028643680143836506,0.00020062479805010828
junyi,temporal,bkt,k10,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
junyi,temporal,bkt,k5,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
junyi,temporal,bkt,strict,0.5,0.0,0.4796747967479675,0.0,0.5203252032520326,0.0,0.5203252032520326,0.0,0.270738317139269,0.0,0.0,0.0
junyi,temporal,bkt,warm,0.5000519064228826,0.0,0.30110488138206537,0.0,0.698848337246382,0.0,0.6988717279321582,0.0,0.4885904606714461,0.0,5.348273263375751e-07,0.0
junyi,temporal,dkt,k10,0.47622956392743454,0.0,0.4986247544204322,0.0,0.29048842163308214,0.0,0.35966514321744303,0.0,0.10967676691949084,0.0,0.0009104544240738995,0.0
junyi,temporal,dkt,k5,0.47622956392743454,0.0,0.4986247544204322,0.0,0.29048842163308214,0.0,0.35966514321744303,0.0,0.10967676691949084,0.0,0.0009104544240738995,0.0
junyi,temporal,dkt,strict,0.47622956392743454,0.0,0.4986247544204322,0.0,0.29048842163308214,0.0,0.35966514321744303,0.0,0.10967676691949084,0.0,0.0009104544240738995,0.0
junyi,temporal,dkt,warm,0.5003845612738151,0.0,0.6237973566378754,0.0,0.19467516392309006,0.0,0.266731309835744,0.0,0.05610865550741747,0.0,6.86054541631852e-07,0.0
