dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
xes3g5m,learner_based,irt_1pl,2025,medium,R,172,12639,0.5,0.7805997309913759,0.5712606812876967
xes3g5m,learner_based,irt_1pl,2025,sparse,R,122,1902,0.5,0.749211356466877,0.5896041444468535
xes3g5m,learner_based,irt_1pl,2025,very_sparse,I,38,90,0.5,0.7222222222222222,0.6053766779792272
xes3g5m,learner_based,dkt,42,dense,R,498,1267014,0.8189849990177435,0.8355637743545059,0.3854305202462129
xes3g5m,learner_based,dkt,42,medium,R,172,13137,0.865973484813704,0.8538479104818452,0.4199141233757241
xes3g5m,learner_based,dkt,42,sparse,R,122,2164,0.854367709125377,0.8299445471349353,0.6211639055070909
xes3g5m,learner_based,dkt,42,very_sparse,L,40,107,0.8800865800865801,0.8411214953271028,0.7401655051153766
xes3g5m,learner_based,dkt,2024,dense,R,498,1267014,0.817997361012827,0.8349292115162106,0.3856881139901089
xes3g5m,learner_based,dkt,2024,medium,R,172,13137,0.8661862683986921,0.8501941082438913,0.4188175059290188
xes3g5m,learner_based,dkt,2024,sparse,R,122,2164,0.8601055073890833,0.8308687615526802,0.6309516807978621
xes3g5m,learner_based,dkt,2024,very_sparse,L,40,107,0.8683982683982685,0.794392523364486,0.6911145339703352
xes3g5m,learner_based,dkt,2025,dense,R,498,1269070,0.8187065059172097,0.8313489405627743,0.3905531855430391
xes3g5m,learner_based,dkt,2025,medium,R,172,12874,0.866477582021529,0.8478328413857387,0.4234924918973689
xes3g5m,learner_based,dkt,2025,sparse,R,122,2061,0.8745590221592201,0.8549247937894227,0.5106959976334278
xes3g5m,learner_based,dkt,2025,very_sparse,L,44,123,0.8639031548055759,0.8130081300813008,0.7721542931818792
xes3g5m,learner_based,simplekt,42,dense,R,498,1267014,0.7553025950130442,0.8090684080838886,0.6085817115919607
xes3g5m,learner_based,simplekt,42,medium,R,172,13137,0.8409472579182374,0.8455507345664915,0.5668821789076034
xes3g5m,learner_based,simplekt,42,sparse,R,122,2164,0.846252198549906,0.8202402957486137,0.6767805282561737
xes3g5m,learner_based,simplekt,42,very_sparse,L,40,107,0.8515151515151516,0.7850467289719626,0.9201106334244228
xes3g5m,learner_based,simplekt,2024,dense,R,498,1267014,0.7548661933970945,0.8097897892209557,0.6070472749097545
xes3g5m,learner_based,simplekt,2024,medium,R,172,13137,0.8353261124412739,0.839917789449646,0.6012933739947451
xes3g5m,learner_based,simplekt,2024,sparse,R,122,2164,0.8527204502814258,0.8239371534195934,0.6701748875018408
xes3g5m,learner_based,simplekt,2024,very_sparse,L,40,107,0.846969696969697,0.794392523364486,0.8329292066626031
xes3g5m,learner_based,simplekt,2025,dense,R,498,1269070,0.7559661523670771,0.8061950877414169,0.6212926599728826
xes3g5m,learner_based,simplekt,2025,medium,R,172,12874,0.8403427591082329,0.8358707472425043,0.5995658326826475
