dataset,split_mode,model,seed,setting,bucket,auc,ece
assist2012,temporal,bkt,123,Main,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,123,Main,very_sparse,0.5,0.7083333333333334
assist2012,temporal,bkt,123,Alt_1,dense,0.500014097775868,0.688449247391085
assist2012,temporal,bkt,123,Alt_1,medium,0.4987632028185321,0.628757799205899
assist2012,temporal,bkt,123,Alt_1,sparse,0.5,0.5578279266572638
assist2012,temporal,bkt,123,Alt_1,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,123,Alt_1,very_sparse,0.5,0.8772727272727273
assist2012,temporal,bkt,123,Alt_2,dense,0.5000299921596986,0.6885172170079426
assist2012,temporal,bkt,123,Alt_2,medium,0.4988206446363519,0.6671201339472582
assist2012,temporal,bkt,123,Alt_2,sparse,0.5000792061839893,0.6391916439600364
assist2012,temporal,bkt,123,Alt_2,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,123,Alt_2,very_sparse,0.5,0.6330508474576271
assist2012,temporal,bkt,2026,Main,dense,0.5000128748333938,0.6883827344496503
assist2012,temporal,bkt,2026,Main,medium,0.49889402711983355,0.6339869281045751
assist2012,temporal,bkt,2026,Main,sparse,0.5001310501485234,0.6211080586080586
assist2012,temporal,bkt,2026,Main,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,2026,Main,very_sparse,0.5,0.7083333333333334
assist2012,temporal,bkt,2026,Alt_1,dense,0.500014097775868,0.688449247391085
assist2012,temporal,bkt,2026,Alt_1,medium,0.4987632028185321,0.628757799205899
assist2012,temporal,bkt,2026,Alt_1,sparse,0.5,0.5578279266572638
assist2012,temporal,bkt,2026,Alt_1,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,2026,Alt_1,very_sparse,0.5,0.8772727272727273
assist2012,temporal,bkt,2026,Alt_2,dense,0.5000299921596986,0.6885172170079426
assist2012,temporal,bkt,2026,Alt_2,medium,0.4988206446363519,0.6671201339472582
assist2012,temporal,bkt,2026,Alt_2,sparse,0.5000792061839893,0.6391916439600364
assist2012,temporal,bkt,2026,Alt_2,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,2026,Alt_2,very_sparse,0.5,0.6330508474576271
assist2012,temporal,dkt,42,Main,dense,0.6619193965278228,0.08115533748770612
assist2012,temporal,dkt,42,Main,medium,0.5637103044738513,0.27957048266024637
assist2012,temporal,dkt,42,Main,sparse,0.6244382221196201,0.31493203225933997
assist2012,temporal,dkt,42,Main,strict_cold_start,0.5054679701423773,0.05977811733712182
assist2012,temporal,dkt,42,Main,very_sparse,0.5970761362539805,0.35526324769709555
assist2012,temporal,dkt,42,Alt_1,dense,0.6617957857198319,0.0814287233042366
assist2012,temporal,dkt,42,Alt_1,medium,0.5481507613580188,0.31305816517781826
assist2012,temporal,dkt,42,Alt_1,sparse,0.6167464425338441,0.3450179450636616
assist2012,temporal,dkt,42,Alt_1,strict_cold_start,0.5054679701423773,0.05977811733712182
assist2012,temporal,dkt,42,Alt_1,very_sparse,0.42664609053497937,0.44682420356605457
assist2012,temporal,dkt,42,Alt_2,dense,0.6620604713735814,0.07999256301529083
assist2012,temporal,dkt,42,Alt_2,medium,0.6334174686568853,0.19048192789699958
assist2012,temporal,dkt,42,Alt_2,sparse,0.6006292497318728,0.30477102041570625
assist2012,temporal,dkt,42,Alt_2,strict_cold_start,0.5054679701423773,0.05977811733712182
assist2012,temporal,dkt,42,Alt_2,very_sparse,0.624685934611191,0.3582502810779795
assist2012,temporal,dkt,2024,Main,dense,0.6639227233096918,0.08225472590214251
assist2012,temporal,dkt,2024,Main,medium,0.5585340357507845,0.29085003810677107
assist2012,temporal,dkt,2024,Main,sparse,0.6279415378657839,0.29850300863016666
assist2012,temporal,dkt,2024,Main,strict_cold_start,0.4903572972951128,0.04436036546177789
assist2012,temporal,dkt,2024,Main,very_sparse,0.5601521897961153,0.43082505365347185
assist2012,temporal,dkt,2024,Alt_1,dense,0.6636643599537329,0.08261950578421282
assist2012,temporal,dkt,2024,Alt_1,medium,0.5619719674342598,0.3065152839345492
