dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,learner_based,dkt,42,sparse,37,440,0.7260701203558346,0.6795454545454546,1.0768831876910538,0.5087397169422202,0.23246028300399516,0.25881609959445034,0.24677169421487605,0.06095114945377555,0.048403862972562633
assist2012,learner_based,dkt,42,very_sparse,8,15,0.9464285714285714,0.8,0.43766719268605164,0.36183617370145776,0.1748347635458534,0.13092541659891152,0.24888888888888888,0.07701797420755577,0.19333333333333336
assist2012,learner_based,dkt,42,dense,145,527922,0.6979572288621814,0.7191460102060532,0.5777548799552806,0.4386553988892985,0.05882120378732869,0.1924185589747296,0.21010706529952655,0.005025696618458898,0.022492576897940958
assist2012,learner_based,dkt,42,medium,70,5773,0.7395171171535936,0.6743460938853283,0.7788408700275609,0.4841664338248079,0.15611064224124552,0.23441713564263209,0.24900063848117873,0.028313284625953228,0.04230529272960333
assist2012,learner_based,dkt,42,sparse,37,440,0.7260701203558346,0.6795454545454546,1.0768831876910538,0.5087397169422202,0.23246028300399516,0.25881609959445034,0.24677169421487605,0.06095114945377555,0.048403862972562633
assist2012,learner_based,dkt,42,very_sparse,8,15,0.9464285714285714,0.8,0.43766719268605164,0.36183617370145776,0.1748347635458534,0.13092541659891152,0.24888888888888888,0.07701797420755577,0.19333333333333336
assist2012,learner_based,simplekt,2024,dense,145,527922,0.6816171507276936,0.6999613579278757,0.688273193901728,0.4597321729860941,0.1152348114111382,0.21135367087851592,0.21010706529952655,0.019954392550861493,0.018523217597939408
assist2012,learner_based,simplekt,2024,medium,70,5773,0.7330645643300729,0.6774640568162134,0.8200855018242538,0.48900019412149376,0.16192521876685861,0.23912118985085856,0.24900063848117873,0.030944337128485804,0.04039800629867881
assist2012,learner_based,simplekt,2024,sparse,37,440,0.7254735740450027,0.6886363636363636,1.1954059574136853,0.5091238044208084,0.230589600779368,0.25920704822791757,0.24677169421487605,0.0601972022553606,0.04636081219658665
assist2012,learner_based,simplekt,2024,very_sparse,8,15,0.875,0.8,0.49773838562612244,0.4001477636891881,0.2680865413528712,0.1601182327854583,0.24888888888888888,0.11159554617419488,0.19555555555555557
assist2012,learner_based,simplekt,2024,dense,145,536543,0.6787404691025362,0.6952136175478946,0.6963900757564608,0.46280260642395493,0.1202838939086645,0.21418625251280615,0.2104965269997809,0.021768283088433055,0.017953516125983372
assist2012,learner_based,simplekt,2024,medium,70,5753,0.7590978995433789,0.6926820789153485,0.7707724431696019,0.4733364568541374,0.1524068408974104,0.22404740138722867,0.2481342045137674,0.026691863524254685,0.05006613942602991
assist2012,learner_based,simplekt,2024,sparse,38,438,0.7065158974138487,0.682648401826484,1.2250791575251156,0.5123193704247779,0.23814749089563256,0.2624711373124408,0.24247305102062092,0.06119853269169539,0.03984971471354251
assist2012,learner_based,simplekt,2024,very_sparse,7,14,0.8333333333333334,0.7857142857142857,0.9301886043612372,0.42134783566067907,0.17849898611062334,0.17753399861593863,0.24489795918367344,0.04569943061336336,0.11632653061224492
assist2012,learner_based,simplekt,2025,dense,145,536543,0.6804732646094279,0.6982869965687746,0.6957292015773356,0.46167120978815024,0.1175038340396705,0.21314030594725425,0.2104965269997809,0.02111461980627682,0.018318838824286313
assist2012,learner_based,simplekt,2025,medium,70,5753,0.758585205479452,0.6914653224404659,0.7624937612904557,0.4736477079280134,0.1556652107397713,0.22434215122546072,0.2481342045137674,0.02712604962776848,0.049858541024977034
assist2012,learner_based,simplekt,2025,sparse,38,438,0.7098265150375133,0.6735159817351598,1.143959713553867,0.517750667465337,0.23398448715053694,0.268065753660802,0.24247305102062092,0.062240129482594816,0.035295608343401695
assist2012,learner_based,simplekt,2025,very_sparse,7,14,0.875,0.5714285714285714,1.346279252264786,0.5655289939685929,0.371988840301388,0.31982304301912884,0.24489795918367344,0.21291725211200394,0.13775510204081634
assist2012,learner_based,simplekt,2025,dense,145,521520,0.6820250419405874,0.698801579996932,0.6946412713959116,0.4607353417224686,0.11849107196657076,0.21227705511211994,0.20998619301031424,0.02110012257421452,0.018642369702383258
assist2012,learner_based,simplekt,2025,medium,70,6734,0.739034392533658,0.6790911790911791,0.8091332439288789,0.4858224389947151,0.15865247702395302,0.2360234422307737,0.2498759558456618,0.029427714627329946,0.04247233505238653
assist2012,learner_based,simplekt,2025,sparse,37,402,0.7245553359683794,0.7039800995024875,1.0398594564471617,0.48832367569788476,0.21085249155789054,0.23846001224709293,0.2254399643573179,0.051937076256072544,0.037658475201719305
assist2012,learner_based,simplekt,2025,strict_cold_start,1,4,,0.5,0.786903105635586,0.5432790104031872,0.5383344814181328,0.29515208314466634,0.0,0.29515208314466634,0.0
assist2012,learner_based,simplekt,2025,very_sparse,7,21,0.9363636363636363,0.8095238095238095,0.5158428466527665,0.40978585873901235,0.20613921877243446,0.16792445002246978,0.2494331065759637,0.06901627753575174,0.1436130007558579
assist2012,learner_based,simplekt,2026,dense,145,521520,0.6854224182961114,0.7043737536431968,0.7008673014407028,0.45688770275165796,0.1043064774460833,0.20874637292568735,0.20998619301031424,0.017942881205694393,0.019098363743229388
assist2012,learner_based,simplekt,2026,medium,70,6734,0.7314634795108386,0.6673596673596673,0.8474316343286332,0.4886558388683535,0.16093036912145758,0.2387845288601343,0.2498759558456618,0.029862087699194715,0.040734852520995936
assist2012,learner_based,simplekt,2026,sparse,37,402,0.7197655906895037,0.7014925373134329,1.1082773784691482,0.4911158822984957,0.2150980808470196,0.24119480984582986,0.2254399643573179,0.055370709664743605,0.03887241361066267
assist2012,learner_based,simplekt,2026,strict_cold_start,1,4,,0.25,0.707332009319214,0.5070436471372913,0.5064845755696297,0.25709326010228595,0.0,0.2565266252899479,0.0
assist2012,learner_based,simplekt,2026,very_sparse,7,21,0.8363636363636364,0.8571428571428571,1.0221827564845813,0.4060115105367169,0.21889785388400654,0.16484534668830658,0.2494331065759637,0.055174041047074206,0.13832199546485263
assist2012,learner_based,simplekt,2027,dense,145,509470,0.6840613312114197,0.7024888609731682,0.7076132904560457,0.4580603992312528,0.10536109371337457,0.2098193293438947,0.2103955079411565,0.018366717015354805,0.01886840084560692
assist2012,learner_based,simplekt,2027,medium,70,6061,0.7521142868378108,0.6919650222735522,0.8316913917349228,0.47616365958983675,0.1497147815369788,0.22673183071398595,0.2492086653206017,0.02603782925960959,0.04777021966988988
assist2012,learner_based,simplekt,2027,sparse,38,333,0.7003261312678353,0.6966966966966966,1.1732561256634149,0.5108843683309975,0.2551814650873492,0.26100283780496225,0.22121220319418516,0.07624937650539,0.033956852605501256
assist2012,learner_based,simplekt,2027,very_sparse,7,25,0.75,0.72,1.1599825132459316,0.5177239553618125,0.28102041963749796,0.26803809395548006,0.2496,0.09917704168214173,0.08198095238095238
assist2012,learner_based,simplekt,42,dense,145,527922,0.6823362029113413,0.7000484920120775,0.6975339775458397,0.46010063430925424,0.11613462556126067,0.2116925936917781,0.21010706529952655,0.02037975343894182,0.018669123193614814
assist2012,learner_based,simplekt,42,medium,70,5773,0.7306691533583594,0.671574571280097,0.8324145960924805,0.49157433573474535,0.1697037214516243,0.24164532755305612,0.24900063848117873,0.033105948765179576,0.03967472002541343
assist2012,learner_based,simplekt,42,sparse,37,440,0.7255468341182627,0.6818181818181818,1.1150301149611905,0.5123307057024459,0.2235328078971745,0.2624827520055662,0.24677169421487605,0.05579589216973907,0.04042621062112178
assist2012,learner_based,simplekt,42,very_sparse,8,15,0.7857142857142857,0.6,1.2595190677368144,0.5688720743059331,0.3682930587689043,0.3236154369251351,0.24888888888888888,0.19456557294808624,0.11555555555555556
assist2012,learner_based,simplekt,42,dense,145,527922,0.682596107813688,0.6997567822519236,0.6966075215601883,0.46016341124828525,0.11705053507129451,0.21175036505165848,0.21010706529952655,0.0205646776999867,0.018724549524153904
