dataset,split_mode,model,seed,bucket,bin_id,n_bin,conf_bin,acc_bin,gap_bin
junyi,learner_based,bkt,42,medium,11,0,,,
junyi,learner_based,bkt,42,medium,12,0,,,
junyi,learner_based,bkt,42,medium,13,0,,,
junyi,learner_based,bkt,42,medium,14,0,,,
junyi,learner_based,dkt,42,dense,0,13792,0.04205219403358402,0.1925754060324826,0.1505232119988986
junyi,learner_based,dkt,42,dense,1,31612,0.10285449194882497,0.24395799063646717,0.14110349868764221
junyi,learner_based,dkt,42,dense,2,48792,0.16879003855229832,0.2952533202164289,0.1264632816641306
junyi,learner_based,dkt,42,dense,3,68307,0.23508990957735504,0.3474900083446792,0.11240009876732415
junyi,learner_based,dkt,42,dense,4,91535,0.3014569949425243,0.39707215819085595,0.09561516324833164
junyi,learner_based,dkt,42,dense,5,118582,0.3681182745169388,0.4463071967077634,0.07818892219082463
junyi,learner_based,dkt,42,dense,6,150031,0.4347035071195436,0.49237157654084823,0.057668069421304646
junyi,learner_based,dkt,42,dense,7,198625,0.5010477317933995,0.5548244178728761,0.05377668607947661
junyi,learner_based,dkt,42,dense,8,221437,0.5675830386570188,0.5900820549411345,0.02249901628411577
junyi,learner_based,dkt,42,dense,9,258894,0.6341735699831059,0.6413744621350823,0.00720089215197639
junyi,learner_based,dkt,42,dense,10,303064,0.7008768918962164,0.6903294353667873,0.010547456529429122
junyi,learner_based,dkt,42,dense,11,358268,0.7676053294183056,0.7448027733428606,0.022802556075445013
junyi,learner_based,dkt,42,dense,12,429115,0.8343021169209179,0.7982405648835393,0.0360615520373786
junyi,learner_based,dkt,42,dense,13,515554,0.9010875789420648,0.8585618577297431,0.04252572121232168
junyi,learner_based,dkt,42,dense,14,456797,0.961430591939331,0.9200388794147072,0.041391712524623814
junyi,learner_based,dkt,42,medium,0,402,0.029097119342206712,0.43532338308457713,0.4062262637423704
junyi,learner_based,dkt,42,medium,1,283,0.09855220909148134,0.4381625441696113,0.33961033507813
junyi,learner_based,dkt,42,medium,2,238,0.16509381168279327,0.4831932773109244,0.3180994656281311
junyi,learner_based,dkt,42,medium,3,226,0.23248589460828664,0.42035398230088494,0.1878680876925983
junyi,learner_based,dkt,42,medium,4,223,0.299516673980807,0.515695067264574,0.21617839328376703
junyi,learner_based,dkt,42,medium,5,186,0.3653403603902427,0.46774193548387094,0.10240157509362824
junyi,learner_based,dkt,42,medium,6,182,0.4309363995607083,0.6043956043956044,0.17345920483489607
junyi,learner_based,dkt,42,medium,7,195,0.5007922981029902,0.5230769230769231,0.02228462497393291
junyi,learner_based,dkt,42,medium,8,164,0.5655334482832652,0.6097560975609756,0.04422264927771036
junyi,learner_based,dkt,42,medium,9,215,0.6355959104937177,0.4604651162790698,0.1751307942146479
junyi,learner_based,dkt,42,medium,10,213,0.69978992927802,0.5305164319248826,0.16927349735313735
junyi,learner_based,dkt,42,medium,11,252,0.7669835532941516,0.6031746031746031,0.16380895011954844
junyi,learner_based,dkt,42,medium,12,280,0.8362369948199817,0.6107142857142858,0.22552270910569594
junyi,learner_based,dkt,42,medium,13,399,0.9012983777469262,0.6140350877192983,0.28726329002762796
junyi,learner_based,dkt,42,medium,14,1159,0.9777923855830926,0.7135461604831751,0.26424622509991746
junyi,learner_based,simplekt,42,dense,0,32875,0.03406783323692943,0.23495057034220532,0.20088273710527588
junyi,learner_based,simplekt,42,dense,1,44628,0.102605767620206,0.269987451823967,0.16738168420376098
junyi,learner_based,simplekt,42,dense,2,66230,0.1686994934921698,0.32399214857315417,0.15529265508098436
junyi,learner_based,simplekt,42,dense,3,91066,0.23494471027068403,0.3781323435749896,0.14318763330430556
junyi,learner_based,simplekt,42,dense,4,118213,0.30131143480548145,0.4316614923908538,0.13035005758537233
junyi,learner_based,simplekt,42,dense,5,145281,0.3676825311378546,0.48404127174234757,0.11635874060449297
junyi,learner_based,simplekt,42,dense,6,169248,0.4341212452240859,0.5360476933257705,0.10192644810168461
junyi,learner_based,simplekt,42,dense,7,204893,0.5005525220311607,0.593592753290742,0.09304023125958127
junyi,learner_based,simplekt,42,dense,8,211208,0.56715841237723,0.6322771864702095,0.0651187740929795
junyi,learner_based,simplekt,42,dense,9,231354,0.6338274916338731,0.6731415925378424,0.03931410090396936
junyi,learner_based,simplekt,42,dense,10,250924,0.700384175738146,0.7147104302497967,0.014326254511650705
junyi,learner_based,simplekt,42,dense,11,270135,0.767131830398115,0.752705128917023,0.014426701481092041
junyi,learner_based,simplekt,42,dense,12,292243,0.833886199270627,0.7916596804713886,0.042226518799238444
junyi,learner_based,simplekt,42,dense,13,338794,0.9012452502040946,0.8294745479553948,0.07177070224869986
junyi,learner_based,simplekt,42,dense,14,797313,0.9787504347686811,0.8859444158065903,0.09280601896209073
junyi,learner_based,simplekt,42,medium,0,68,0.04488246063684683,0.25,0.20511753936315316
junyi,learner_based,simplekt,42,medium,1,173,0.10621770983831037,0.3179190751445087,0.21170136530619832
junyi,learner_based,simplekt,42,medium,2,287,0.17135598725973517,0.30662020905923343,0.13526422179949826
junyi,learner_based,simplekt,42,medium,3,256,0.23202013509580866,0.28125,0.049229864904191345
junyi,learner_based,simplekt,42,medium,4,334,0.29869115468627677,0.4311377245508982,0.13244656986462144
junyi,learner_based,simplekt,42,medium,5,308,0.3661001846194267,0.4577922077922078,0.09169202317278108
junyi,learner_based,simplekt,42,medium,6,298,0.43474275863810674,0.5,0.06525724136189326
junyi,learner_based,simplekt,42,medium,7,374,0.5016064313962498,0.5053475935828877,0.003741162186637892
junyi,learner_based,simplekt,42,medium,8,340,0.5670628829913981,0.5882352941176471,0.021172411126249013
junyi,learner_based,simplekt,42,medium,9,344,0.6338265198607778,0.5581395348837209,0.07568698497705684
junyi,learner_based,simplekt,42,medium,10,305,0.698580449135577,0.6786885245901639,0.01989192454541311
junyi,learner_based,simplekt,42,medium,11,286,0.7664784361849298,0.6888111888111889,0.07766724737374098
junyi,learner_based,simplekt,42,medium,12,293,0.8360474205261205,0.7133105802047781,0.12273684032134236
