dataset,split,fold,covariate,estimator,weighted,cluster,n_obs,n_unique_kc,n_folds,n_splits,coef_std,SE_cluster,CI_lo,CI_hi,p
junyi,learner_based,0,item_support,OLS,False,kc_id,1326,1326,1,1,-0.00011187927803686071,0.0006833604184698084,-0.0014524656700502683,0.0012287071139765468,0.8699771047221107
junyi,learner_based,0,learner_exposure,OLS,False,kc_id,1326,1326,1,1,0.00656609821433172,0.001947730991455623,0.002745125281344159,0.010387071147319281,0.000770101978827889
junyi,learner_based,0,curriculum_position_proxy,OLS,False,kc_id,1326,1326,1,1,-0.0056047070276324116,0.0006604908442204649,-0.006900428895448674,-0.0043089851598161494,5.660830128348136e-17
junyi,temporal,0,log1p(f_train),WLS,True,kc_id,1319,1319,1,1,-0.00979898622147211,0.0027400445483413876,-0.015174311119854338,-0.004423661323089884,0.00036121836931427335
junyi,temporal,0,difficulty_proxy,WLS,True,kc_id,1319,1319,1,1,0.005822562683076078,0.0017032935463853654,0.002481100145658134,0.009164025220494022,0.0006490887504255568
junyi,temporal,0,item_support,WLS,True,kc_id,1319,1319,1,1,4.342111572731269e-05,0.0009398907278974891,-0.0018004241000317495,0.001887266331486375,0.963159397905062
junyi,temporal,0,learner_exposure,WLS,True,kc_id,1319,1319,1,1,-0.0009325427128568411,0.001494200558618395,-0.0038638138379120646,0.0019987284121983826,0.5326645825599161
junyi,temporal,0,curriculum_position_proxy,WLS,True,kc_id,1319,1319,1,1,-0.0019359815087942622,0.001311210031276992,-0.0045082681281480175,0.0006363051105594928,0.14005270239196999
junyi,temporal,0,log1p(f_train),OLS,False,kc_id,1319,1319,1,1,-0.019761731379306178,0.0026078253345996638,-0.02487767318404468,-0.014645789574567674,6.58980735781136e-14
junyi,temporal,0,difficulty_proxy,OLS,False,kc_id,1319,1319,1,1,0.010324869290528569,0.001515109746651217,0.007352579241490588,0.01329715933956655,1.434115037735523e-11
junyi,temporal,0,item_support,OLS,False,kc_id,1319,1319,1,1,0.0010599090616710562,0.0010669465865903918,-0.0010331899558667797,0.003153008079208892,0.3206954280250145
junyi,temporal,0,learner_exposure,OLS,False,kc_id,1319,1319,1,1,0.0058955770571846675,0.0021356046848013993,0.0017060214376369712,0.010085132676732365,0.005849300421767322
junyi,temporal,0,curriculum_position_proxy,OLS,False,kc_id,1319,1319,1,1,0.00046670890152258107,0.001193848868281174,-0.0018753426357277143,0.0028087604387728765,0.6959136687329623
