dataset,split,fold,kc_id,test_events,ECE,log1p_f_train,difficulty_proxy,item_support,learner_exposure,curriculum_position_proxy
junyi,learner_based,0,bjqNyUe/0l0x5+ie8inJrNliiPty2kvg7F/29KIioKA=,1123,0.0929107021105841,8.154212694914229,0.2516537244751222,18.0,419.0,0.7
junyi,learner_based,0,blcaSZRDQfHg6i4RKYRvO7/D6wVIL6rGsyTJtdOElCg=,2820,0.07639884536967,9.038483865029992,0.4223277909738717,16.0,575.0,0.5185715801761647
junyi,learner_based,0,bm+PA9RRRt5EzYn5/rlVo0Sg77oozAjc+46VbJhE7YU=,426,0.1050411561807888,7.519692404116539,0.4747693977211069,18.0,175.0,0.5010238907849829
junyi,learner_based,0,btutOdU/ny9Ykgd+Tc9xiiMu9JaIcbX/87A/I7MsM2g=,3180,0.102165982436459,9.32892308780313,0.268520163439332,18.0,1287.0,0.6680674494570495
junyi,learner_based,0,bvkyLDFZEq5/4jgDQtgO6S3rJ/DK7yhcVrja6HVlNh8=,949,0.0757958307934412,8.351610750626559,0.5455618508026441,34.0,346.0,0.6415105192656213
junyi,learner_based,0,bx+6BdRWpHzjw2lzHZq06pywvvL/Q1TL+gEZL5lhy7Y=,565,0.1192352070613245,7.444248649496705,0.3469865418373318,20.0,177.0,0.5986316989737742
junyi,learner_based,0,byiS/4MopQNKQw1o5SVSsCfg28hMqNPubipGt4A19bo=,2571,0.0806335306605769,9.064389316491878,0.1865524823515797,16.0,1213.0,0.8252267106347898
junyi,learner_based,0,c0t5AkrKR7NWKeq1VVONr8Y04yJwdRPn/Qil5esGVUQ=,896,0.0846110011085069,7.960672608388117,0.4712041884816754,26.0,203.0,0.5027777777777778
junyi,learner_based,0,c7CnB6hlM9deJD6GjunUMpgXQlPcGIKfVuzCTGSGiQ0=,6811,0.0783998439354556,10.130463749870517,0.1284319585574815,18.0,2583.0,0.3146382501402131
junyi,learner_based,0,cBtlUtwXdy5gGdRnRrsdXfZKfxJcjOb/Y+VJG/VOzVg=,3082,0.0846050988487224,9.261318616740812,0.4488690363048849,19.0,1124.0,0.3816150728284725
